bnumber	description	gene name	GLC_BATCH_mu=0.58_S	LB_BATCH_mu=1.9_S	GLYC+AA_BATCH_mu=1.27_S	ACE_BATCH_mu=0.3_S	FUM_BATCH_mu=0.42_S	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.12_S	Stationary phase 1 day	Stationary phase 3 days	GLC+SALTS_BATCH_mu=0.55_S	GLC@42deg_BATCH_mu=0.66_S	GLC@pH6_BATCH_mu=0.63_S	XYL_BATCH_mu=0.55_S	MAN_BATCH_mu=0.47_S	GAL_BATCH_mu=0.26_S	SUCC_BATCH_mu=0.44_S	FRU_BATCH_mu=0.65_S
b1852	Glucose-6-phosphate 1-dehydrogenase OS=Escherichia coli (strain K12) GN=zwf PE=1 SV=1	zwf	0.114	0.139	0.107	0.0578	0.0779	0.103	0.108	0.0922	0.0921	0.0754	0.0798	0.0851	0.0976	0.0934	0.119	0.171	0.144	0.164	0.0911	0.111	0.0805	0.14
b1853	HTH-type transcriptional regulator hexR OS=Escherichia coli (strain K12) GN=hexR PE=3 SV=2	hexR	0.00131	0.00499	0.00496	0.00174	0.00298	0.00385	0.00413	0.00409	0.004	0.00469	0.00323	0.00278	0.00171	0.000557	0.000395	0.000704	0.000544	0.00261	0.00436	0.00271	0.00345	0.00373
b1854	Pyruvate kinase II OS=Escherichia coli (strain K12) GN=pykA PE=1 SV=3	pykA	0.162	0.285	0.243	0.121	0.153	0.213	0.194	0.186	0.168	0.163	0.151	0.136	0.0854	0.0906	0.112	0.197	0.148	0.159	0.179	0.168	0.155	0.186
b1855	Lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase OS=Escherichia coli (strain K12) GN=msbB PE=1 SV=1	msbB	0.00439	0.00853	0.00501	0.00308	0.00354	0.00337	0.00418	0.00292	0.00395	0.00398	0.00341	0.00385	0.00185	0.00177	0.00247	0.00401	0.00428	0.00336	0.00285	0.00429	0.00335	0.00303
b1857	High-affinity zinc uptake system protein znuA OS=Escherichia coli (strain K12) GN=znuA PE=1 SV=4	znuA	0.0243	0.0317	0.0151	0.00534	0.0129	0.00586	0.0122	0.00741	0.00511	0.00533	0.00352	0.0029	0.0047	0.00606	0.0113	0.012	0.00635	0.00946	0.00778	0.00696	0.0141	0.0136
b1858	Zinc import ATP-binding protein ZnuC OS=Escherichia coli (strain K12) GN=znuC PE=1 SV=1	znuC	0.00102	0.00269		0.000356	0.000223	0.00798	0.00029	0.0000962	0.000255	0.00017	0.0000267	0.000842	0.000471	0.00167	0.000421	0.000502	0.000803			0.000297	0.000234	
b1860	Holliday junction ATP-dependent DNA helicase ruvB OS=Escherichia coli (strain K12) GN=ruvB PE=1 SV=1	ruvB	0.0145	0.0213	0.018	0.0105	0.0111	0.0101	0.0106	0.0111	0.00959	0.00854	0.00797	0.00663	0.00257	0.00175	0.00966	0.0106	0.00685	0.00904	0.0109	0.00743	0.0094	0.00999
b1861	Holliday junction ATP-dependent DNA helicase ruvA OS=Escherichia coli (strain K12) GN=ruvA PE=1 SV=1	ruvA	0.00368	0.00922		0.00425	0.00266	0.00958	0.00666	0.00603	0.00966	0.00778	0.00189	0.00261	0.000181	0.000145	0.0128	0.00752	0.00613			0.00316	0.00715	
b1864	UPF0082 protein yebC OS=Escherichia coli (strain K12) GN=yebC PE=1 SV=1	yebC	0.0347	0.083	0.0555	0.0169	0.0231	0.0252	0.0256	0.0215	0.0251	0.02	0.0153	0.014	0.0226	0.0228	0.0525	0.0348	0.0388	0.0354	0.0246	0.019	0.0239	0.0301
b1865	Dihydroneopterin triphosphate pyrophosphatase OS=Escherichia coli (strain K12) GN=nudB PE=1 SV=1	nudB	0.000255	0.00099		0.000209	0.000439	0.000316	0.000168	0.00018	0.0000761	0.000245	0.00000759	0.0000327	0.000103	0.0000227	0.000141	0.000135	0.000204			0.000103	0.000193	
b1866	Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1	aspS	0.248	0.476	0.277	0.165	0.185	0.191	0.201	0.176	0.255	0.211	0.166	0.162	0.137	0.137	0.219	0.209	0.277	0.3	0.222	0.153	0.215	0.283
b1867	Isochorismatase family protein yecD OS=Escherichia coli (strain K12) GN=yecD PE=1 SV=2	yecD	0.000613	0.00205	0.00269	0.00164	0.00107	0.000536	0.00551	0.0013	0.00188	0.00241	0.00265	0.00175	0.000465	0.000657	0.00194	0.000672	0.00711	0.0011	0.00131	0.00215	0.00112	0.00131
b1868	UPF0759 protein yecE OS=Escherichia coli (strain K12) GN=yecE PE=1 SV=4	yecE	0.0000206	0.0000439	0.000036	0.00002	0.0000208	0.0000287	0.0000346	0.0000334	0.0000131	0.0000126	0.0000178	0.0000275	0.0000662	0.0000117	0.0000913	0.000143	0.0000549	0.0000179	0.0000216	0.0000589	0.0000142	0.0000298
b1870	tRNA (cmo5U34)-methyltransferase OS=Escherichia coli (strain K12) GN=cmoA PE=1 SV=1	cmoA	0.0256	0.023	0.0209	0.012	0.0153	0.0175	0.0183	0.0125	0.016	0.00926	0.00933	0.00952	0.00948	0.00741	0.0184	0.0282	0.0181	0.0202	0.0132	0.0114	0.0121	0.0149
b1871	tRNA (mo5U34)-methyltransferase OS=Escherichia coli (strain K12) GN=cmoB PE=3 SV=1	cmoB	0.00766	0.0241	0.0129	0.00363	0.00427	0.00689	0.00611	0.00399	0.00526	0.00376	0.00354	0.00401	0.00269	0.00254	0.00291	0.008	0.00417	0.00585	0.00487	0.00319	0.00628	0.00689
b1874	Copper homeostasis protein CutC OS=Escherichia coli (strain K12) GN=cutC PE=3 SV=1	cutC	0.00342	0.00407	0.00378	0.0018	0.00205	0.00257	0.00242	0.00234	0.00207	0.0018	0.00183	0.00157	0.000152	0.00108	0.0035	0.00243	0.00272	0.00239	0.00184	0.00155	0.00257	0.00153
b1875	Protein yecM OS=Escherichia coli (strain K12) GN=yecM PE=1 SV=3	yecM	0.00988	0.0124	0.00794	0.00569	0.00556	0.00634	0.00818	0.00853	0.0051	0.00476	0.00455	0.00398	0.0024	0.00319	0.0106	0.00617	0.00712	0.00853	0.00676	0.00531	0.00652	0.0071
b1876	Arginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=argS PE=1 SV=1	argS	0.101	0.156	0.117	0.0477	0.0626	0.0688	0.07	0.0622	0.0589	0.0496	0.0371	0.0355	0.031	0.0233	0.0602	0.0874	0.0694	0.0771	0.0648	0.0575	0.0697	0.0885
b1881	Protein phosphatase CheZ OS=Escherichia coli (strain K12) GN=cheZ PE=1 SV=1	cheZ	0.000069	0.00000253		0.00000829	0.00115	0.0000331	0.0000175	0	0.0000196	0.0000393	0.0000533	0.0000095	0.00000118	0.000016	0.000045	0.0000192	0.0000923			0.00000417	0.0000734	
b1882	Chemotaxis protein CheY OS=Escherichia coli (strain K12) GN=cheY PE=1 SV=2	cheY	0.00065	0.000476	0.00198	0.00049	0.000827	0.00317	0.000501	0.000401	0.00317	0.00862	0.00268	0.000519	0.000522	0.000102	0.00103	0.000623	0.00114	0.000631	0.000984	0.000555	0.00101	0.000909
b1886	Methyl-accepting chemotaxis protein II OS=Escherichia coli (strain K12) GN=tar PE=1 SV=2	tar	0.000151	0.00044	0.000266	0.000103	0.000185	0.00131	0.000531	0.00042	0.00295	0.00862	0.00235	0.000171	0.000287	0.00361	0.000365	0.000199	0.000376	0.000537	0.000217	0.000945	0.000214	0.000665
b1887	Chemotaxis protein CheW OS=Escherichia coli (strain K12) GN=cheW PE=1 SV=1	cheW	0.000161	0.000562	0.000652	0.0000374	0.000339	0.00146	0.000224	0.0000585	0.00133	0.00488	0.00099	0.0000304	0.0000167	0.00000639	0.0000493	0.000117	0.0000474	0.000091	0.000183	0.000121	0.000114	0.000143
b1888	Isoform cheA(S) of Chemotaxis protein CheA OS=Escherichia coli (strain K12) GN=cheA	cheA	0.000112	0.000352	0.000351	0.000079	0.000186	0.00177	0.000156	0.0000305	0.00208	0.00488	0.00195	0.0000398	0.000000306	0.0000211	0.000113	0.0000427	0.0000697	0.0000727	0.000046	0.0000138	0.000232	0.0000858
b1895	Universal stress protein C OS=Escherichia coli (strain K12) GN=uspC PE=2 SV=1	uspC	0.00674	0.00257		0.00503	0.00396	0.00351	0.00351	0.0145	0.00432	0.00597	0.00824	0.00606	0.00262	0.00562	0.00181	0.00328	0.00455			0.00212	0.00254	
b1896	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3	otsA	0.0177	0.0207	0.015	0.0222	0.0238	0.022	0.0181	0.0135	0.0219	0.0228	0.0262	0.0303	0.0172	0.0175	0.0288	0.0284	0.0242	0.00917	0.0214	0.0167	0.0114	0.0167
b1897	Trehalose-phosphate phosphatase OS=Escherichia coli (strain K12) GN=otsB PE=1 SV=2	otsB	0.00668	0.00746	0.00717	0.00526	0.00433	0.00457	0.00419	0.00314	0.00359	0.00336	0.00354	0.00324	0.00425	0.00408	0.0101	0.00573	0.00833	0.00403	0.00457	0.00558	0.00415	0.00395
b1901	L-arabinose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=araF PE=1 SV=2	araF	0.00206	0.00594	0.0048	0.00854	0.0139	0.00818	0.00524	0.00641	0.00697	0.0184	0.0225	0.0387	0.0182	0.0152	0.00306	0.00363	0.00161	0.00523	0.0104	0.02	0.00962	0.00171
b1902	Ferritin-like protein 2 OS=Escherichia coli (strain K12) GN=ftnB PE=3 SV=1	ftnB	0.0000599	0.000118		0.0000201	0.0000144	0.0000471	0.00000097	0.0000467	0.0000247	0.00343	0.0000919	0.000011	0.00000412	0.00000338	0.0000113	0.0000227	0.000102			0.00000793	0.0000554	
b1905	Ferritin-1 OS=Escherichia coli (strain K12) GN=ftnA PE=1 SV=1	ftnA	0.104	0.17	0.0476	0.0277	0.0345	0.077	0.0423	0.0367	0.0374	0.0362	0.0326	0.0245	0.0113	0.0138	0.0267	0.0442	0.0248	0.0326	0.0399	0.0261	0.0302	0.0438
b1906	Uncharacterized protein yecH OS=Escherichia coli (strain K12) GN=yecH PE=4 SV=2	yecH	0.000047	0.0000463		0.00000886	0.0000703	0.0000482	0.000053	0.000111	0.000012	0.000224	0.00013	0	0.000181	0.0000992	0.000182	0.000254	0.000229			0.0000252	0.0000449	
b1908	Uncharacterized protein yecA OS=Escherichia coli (strain K12) GN=yecA PE=4 SV=1	yecA	0.0333	0.0392	0.0283	0.0283	0.0233	0.0218	0.0238	0.0261	0.0276	0.0245	0.0232	0.0207	0.00593	0.00404	0.026	0.0164	0.0174	0.0229	0.0178	0.0242	0.0153	0.0153
b1913	UvrABC system protein C OS=Escherichia coli (strain K12) GN=uvrC PE=1 SV=1	uvrC	0.0000752	0.000205	0.000626	0.0000699	0.0000758	0.000109	0.000352	0.000132	0.000134	0.0000945	0.000126	0.000115	0.0000687	0.000409	0.000568	0.000216	0.000837	0.000789	0.00012	0.000183	0.000148	0.000192
b1914	Response regulator uvrY OS=Escherichia coli (strain K12) GN=uvrY PE=1 SV=1	uvrY	0.00487	0.00728	0.00582	0.00257	0.00348	0.00408	0.00464	0.00363	0.00393	0.00256	0.00256	0.00139	0.00081	0.000752	0.00342	0.00484	0.00303	0.00448	0.0036	0.00214	0.0031	0.00493
b1915	Uncharacterized protein yecF OS=Escherichia coli (strain K12) GN=yecF PE=4 SV=1	yecF	0.00354	0.0162	0.00673	0.00155	0.00241	0.00266	0.00198	0.0016	0.00205	0.00128	0.00122	0.00113	0.0017	0.00138	0.00366	0.0022	0.00848	0.00496	0.00307	0.00173	0.00281	0.00397
b1916	Regulatory protein SdiA OS=Escherichia coli (strain K12) GN=sdiA PE=1 SV=2	sdiA	0.000365	0.0052		0.000355	0.0000299	0.00029	0.000313	0.0000592	0.000303	0.00000123	0.0000429	0.000015	0.0000556	0.0000103	0.000468	0.000126	0.0000312			0.0000456	0.000437	
b1917	Uncharacterized amino-acid ABC transporter ATP-binding protein YecC OS=Escherichia coli (strain K12) GN=yecC PE=3 SV=2	yecC	0.0172	0.00733	0.0103	0.0108	0.0131	0.0197	0.0154	0.012	0.0136	0.0106	0.00997	0.0098	0.00576	0.00928	0.00925	0.0119	0.0132	0.0134	0.0153	0.0131	0.0131	0.0195
b1918	Inner membrane amino-acid ABC transporter permease protein yecS OS=Escherichia coli (strain K12) GN=yecS PE=1 SV=1	yecS	0.00542	0.0018	0.00311	0.00285	0.00345	0.00561	0.00458	0.00345	0.00666	0.0047	0.00455	0.00556	0.00376	0.00387	0.00331	0.00492	0.0073	0.00505	0.00469	0.00308	0.00328	0.00401
b1919	D-cysteine desulfhydrase OS=Escherichia coli (strain K12) GN=dcyD PE=1 SV=4	dcyD	0.0575	0.052	0.0511	0.0372	0.0484	0.0592	0.0459	0.0404	0.0447	0.0397	0.0331	0.0324	0.0349	0.0372	0.0533	0.0467	0.0712	0.0435	0.0428	0.0398	0.0391	0.0424
b1920	Cystine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fliY PE=1 SV=1	fliY	0.549	0.151	0.407	0.439	0.446	0.538	0.549	0.382	0.427	0.335	0.283	0.248	0.431	0.432	0.53	0.53	0.741	0.394	0.486	0.456	0.425	0.554
b1922	RNA polymerase sigma factor for flagellar operon OS=Escherichia coli (strain K12) GN=fliA PE=3 SV=1	fliA	0.0000512	0.000136	0.000281	0.0000407	0.000177	0.000288	0.000276	0.0000971	0.000288	0.000456	0.000246	0.000107	0.0000349	0.0000431	0.000106	0.000121	0.0000677	0.0000464	0.000129	0.000132	0.00044	0.000101
b1923	Flagellin OS=Escherichia coli (strain K12) GN=fliC PE=1 SV=2	fliC	0.00026	0.000428	0.00222	0.000289	0.00309	0.0169	0.00143	0.000344	0.0126	0.0458	0.0107	0.000985	0.000793	0.000339	0.00102	0.000506	0.000281	0.000414	0.0023	0.00136	0.00352	0.000838
b1927	Cytoplasmic alpha-amylase OS=Escherichia coli (strain K12) GN=amyA PE=3 SV=3	amyA	0.0102	0.00732	0.0103	0.0106	0.0135	0.0114	0.0172	0.00934	0.0105	0.0102	0.00898	0.00809	0.0124	0.0133	0.0236	0.00783	0.0211	0.0158	0.0174	0.0156	0.0147	0.0153
b1928	Uncharacterized lipoprotein yedD OS=Escherichia coli (strain K12) GN=yedD PE=4 SV=1	yedD	0.0414	0.0583	0.0632	0.0284	0.0306	0.0379	0.0375	0.0315	0.0327	0.0292	0.0259	0.0215	0.0295	0.0347	0.0478	0.0409	0.0477	0.044	0.0411	0.0333	0.0364	0.0474
b1929	UPF0394 inner membrane protein yedE OS=Escherichia coli (strain K12) GN=yedE PE=1 SV=1	yedE	0.00172	0.00137	0.0114	0.00402	0.00751	0.00888	0.00612	0.00515	0.0252	0.0222	0.0133	0.0106	0.00278	0.000777	0.00152	0.00325	0.00145	0.00391	0.00686	0.00312	0.00635	0.00557
b1930	UPF0033 protein yedF OS=Escherichia coli (strain K12) GN=yedF PE=1 SV=1	yedF	0.00982	0.0146	0.0713	0.0268	0.0456	0.0306	0.0313	0.0273	0.0551	0.0577	0.0481	0.0374	0.00236	0.00228	0.0326	0.00843	0.00672	0.0194	0.04	0.0332	0.0503	0.0285
b1931	Uncharacterized protein yedK OS=Escherichia coli (strain K12) GN=yedK PE=1 SV=2	yedK	0.0000724	0.000185	0.0000753	0.0000378	0.0000589	0.0000256	0.0000344	0.000061	0.0000834	0.0000497	0.0000827	0.0000464	0.000792	0.000325	0.000113	0.000132	0.00013	0.0000849	0.0000632	0.000092	0.0000878	0.0000324
b1938	Flagellar M-ring protein OS=Escherichia coli (strain K12) GN=fliF PE=1 SV=3	fliF	0.0000482	0.000053	0.000259	0.00000939	0.0000836	0.000111	0.0000377	0.0000117	0.000148	0.00024	0.000104	0.0000105	0.0000677	0.0000194	0.0000264	0.0000131	0.000000455	0.0000415	0.0000304	0.00000987	0.0000276	0.0000174
b1939	Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1	fliG	0.000337	0.000314	0.00286	0.0000674	0.00101	0.00079	0.000651	0.000146	0.00104	0.00172	0.000471	0.000125	0.000291	0.000379	0.000124	0.000575	0.000105	0.000217	0.000731	0.000163	0.000611	0.000241
b1942	Flagellar fliJ protein OS=Escherichia coli (strain K12) GN=fliJ PE=3 SV=2	fliJ	0.000442	0.000942	0.000343	0.000418	0.000541	0.000268	0.00028	0.000426	0.000387	0.000444	0.000668	0.000352	0.000163	0.00000953	0.000187	0.00131	0.0000195	0.000219	0.0000597	0.0000628	0.0000621	0.0000258
b1945	Flagellar motor switch protein FliM OS=Escherichia coli (strain K12) GN=fliM PE=1 SV=1	fliM	0.0000902	0.00149		0.00000662	0.000753	0.000286	0.000435	0.0000236	0.000107	0.0000914	0.000213	0.00000183	0.00000419	0.0000141	0.000194	0.00006	0.0000809			0.0000205	0.000229	
b1953	Uncharacterized protein yodD OS=Escherichia coli (strain K12) GN=yodD PE=4 SV=1	yodD	0.00118	0.00176	0.00074	0.00113	0.00117	0.0012	0.00112	0.00061	0.00107	0.00122	0.00115	0.00233	0.0126	0.0117	0.00338	0.00239	0.00247	0.00153	0.00109	0.00128	0.00149	0.000853
b1955	Putative mannosyl-3-phosphoglycerate phosphatase OS=Escherichia coli (strain K12) GN=yedP PE=1 SV=1	yedP	0.00199	0.00212	0.000835	0.00375	0.00345	0.00482	0.00291	0.00225	0.00232	0.00296	0.00541	0.00786	0.0039	0.00365	0.00334	0.00175	0.00538	0.00207	0.00429	0.00706	0.0029	0.00192
b1956	Probable diguanylate cyclase YedQ OS=Escherichia coli (strain K12) GN=yedQ PE=2 SV=2	yedQ	0.000701	0.00121	0.00075	0.00134	0.000762	0.000978	0.000645	0.000678	0.00159	0.00192	0.00167	0.00184	0.00104	0.00106	0.000648	0.00101	0.000801	0.00107	0.00118	0.000833	0.00141	0.0022
b1957	Uncharacterized protein yodC OS=Escherichia coli (strain K12) GN=yodC PE=1 SV=1	yodC	0.000247	0.0000399		0.000228	0.000329	0.000102	0.000314	0.0000392	0.000133	0.000141	0.00024	0.0000627	0.000000299	0.000027	0.00000752	0.000116	0.000252			0.0000481	0.0000674	
b1960	Very short patch repair protein OS=Escherichia coli (strain K12) GN=vsr PE=1 SV=3	vsr	0.000389	0.000281		0.0000581	0.00064	0.000337	0.000383	0.000542	0.0000658	0.0000631	0	0.0000279	0.0000692	0.000124	0.0000961	0.0001	0.000268			0.0000932	0.0000504	
b1961	DNA-cytosine methyltransferase OS=Escherichia coli (strain K12) GN=dcm PE=1 SV=1	dcm	0.0018	0.00262	0.00169	0.00112	0.00131	0.00152	0.00151	0.00148	0.00148	0.00146	0.00129	0.000884	0.000355	0.000587	0.00145	0.00125	0.000988	0.00156	0.00139	0.000897	0.00121	0.00109
b1962	Uncharacterized protein yedJ OS=Escherichia coli (strain K12) GN=yedJ PE=1 SV=2	yedJ	0.0000719	0.000191		0.00002	0.000242	0.0000912	0	0	0.0000354	0.00332	0	0.00000186	0.0000222	0.00000727	0.00012	0.0000924	0.000208			0.000018	0.0000228	
b1967	Chaperone protein hchA OS=Escherichia coli (strain K12) GN=hchA PE=1 SV=3	hchA	0.0325	0.0439	0.0155	0.063	0.04	0.0537	0.0311	0.0178	0.0274	0.0296	0.0363	0.0422	0.112	0.0913	0.0627	0.133	0.0964	0.0214	0.0372	0.0436	0.0273	0.0239
b1968	Putative sensor-like histidine kinase yedV OS=Escherichia coli (strain K12) GN=yedV PE=1 SV=1	yedV	0.00059	0.0000684	0.000212	0.000229	0.0005	0.000294	0.000251	0.000243	0.000349	0.000452	0.000379	0.000387	0.000103	0.0000977	0.000149	0.000326	0.000507	0.000364	0.000542	0.000323	0.000488	0.00109
b1969	Probable transcriptional regulatory protein yedW OS=Escherichia coli (strain K12) GN=yedW PE=1 SV=2	yedW	0.000406	0.0000446		0.000219	0.000104	0.000967	0.000233	0.000689	0.000541	0.00074	0.000658	0.000093	0.0000859	0.0000135	0.0000203	0.000223	0.0000375			0.000174	0.000654	
b1970	5-hydroxyisourate hydrolase OS=Escherichia coli (strain K12) GN=hiuH PE=1 SV=1	hiuH	0.00972	0.00139	0.00114	0.00741	0.0114	0.00199	0.0114	0.00398	0.00343	0.00434	0.00366	0.00181	0.00307	0.00274	0.0024	0.00821	0.00477	0.00338	0.014	0.0114	0.00556	0.0103
b1971	Sulfoxide reductase catalytic subunit yedY OS=Escherichia coli (strain K12) GN=yedY PE=1 SV=1	yedY	0.00123	0.000259	0.000483	0.000841	0.00148	0.000992	0.00163	0.000745	0.000908	0.000657	0.000674	0.000868	0.000646	0.000508	0.00136	0.00129	0.00256	0.00098	0.00121	0.0018	0.00138	0.00208
b1973	Metal-binding protein ZinT OS=Escherichia coli (strain K12) GN=zinT PE=1 SV=1	zinT	0.0011	0.000243	0.0000684	0.0000258	0.00018	0.00003	0.000083	0.0000113	0.000000466	0.00000102	0.000000358	0.000000328	0.000000285	0.000000282	0.00000637	0.000000532	0.000000513	0.000000488	0.000000464	0.00000747	0.000000457	0.000000516
b1976	Protein mtfA OS=Escherichia coli (strain K12) GN=mtfA PE=1 SV=2	mtfA	0.0216	0.0397	0.0511	0.0344	0.0418	0.0292	0.034	0.0352	0.044	0.0518	0.0505	0.0395	0.00464	0.00586	0.00934	0.0135	0.0106	0.0173	0.0546	0.0391	0.0503	0.0285
b1981	Shikimate transporter OS=Escherichia coli (strain K12) GN=shiA PE=3 SV=1	shiA	0.0027	0.000385	0.000451	0.000128	0.00103	0.00117	0.00123	0.000559	0.00117	0.000982	0.00117	0.000546	0.0000138	0.00000311	0.00134	0.000126	0.000666	0.00165	0.00108	0.000843	0.000939	0.00143
b1982	AMP nucleosidase OS=Escherichia coli (strain K12) GN=amn PE=1 SV=1	amn	0.0381	0.028	0.0267	0.0352	0.0323	0.0392	0.04	0.0403	0.0436	0.035	0.0361	0.0302	0.0293	0.0265	0.0469	0.0524	0.0508	0.0475	0.0356	0.0314	0.0309	0.0401
b1983	UPF0082 protein yeeN OS=Escherichia coli (strain K12) GN=yeeN PE=1 SV=1	yeeN	0.09	0.202	0.214	0.0438	0.0463	0.0621	0.0487	0.0469	0.047	0.0336	0.0246	0.0161	0.0378	0.0406	0.0971	0.0691	0.0976	0.0731	0.0458	0.0281	0.0398	0.0535
b1987	HTH-type transcriptional regulator cbl OS=Escherichia coli (strain K12) GN=cbl PE=1 SV=2	cbl	0.00256	0.00109	0.0005	0.000282	0.000206	0.000411	0.000545	0.000313	0.000488	0.000694	0.000503	0.000384	0.000151	0.000228	0.0005	0.000761	0.00105	0.00138	0.0013	0.000477	0.00105	0.00162
b1990	Probable L,D-transpeptidase ErfK/SrfK OS=Escherichia coli (strain K12) GN=erfK PE=1 SV=2	erfK	0.00395	0.00422	0.00304	0.00625	0.00556	0.00642	0.00521	0.00337	0.00469	0.00553	0.00678	0.00635	0.00791	0.00908	0.00712	0.00772	0.00919	0.00503	0.00572	0.00876	0.00515	0.00546
b1991	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=cobT PE=3 SV=3	cobT	0.00511	0.00421	0.00556	0.0038	0.00393	0.00393	0.00485	0.00472	0.00382	0.00369	0.00215	0.00187	0.00036	0.000929	0.00249	0.00289	0.00294	0.00363	0.00266	0.00129	0.002	0.00238
b1993	Bifunctional adenosylcobalamin biosynthesis protein CobU OS=Escherichia coli (strain K12) GN=cobU PE=2 SV=1	cobU	0.000999	0.000653		0.00079	0.000654	0.000806	0.000924	0.000812	0.00111	0.000925	0.0000882	0.00042	0.0000197	0.0000162	0.000244	0.00021	0.0000253			0.000296	0.000777	
b2000	Antigen 43 OS=Escherichia coli (strain K12) GN=flu PE=1 SV=3	flu	0.0105	0.0182	0.0174	0.0131	0.00601	0.026	0.00853	0.00847	0.00559	0.00719	0.00596	0.012	0.0138	0.0118	0.0186	0.0695	0.0226	0.0108	0.0173	0.0305	0.00292	0.0577
b2007	UPF0265 protein yeeX OS=Escherichia coli (strain K12) GN=yeeX PE=3 SV=1	yeeX	0.429	0.32	0.371	0.218	0.223	0.319	0.351	0.208	0.325	0.245	0.223	0.209	0.202	0.224	0.443	0.463	0.382	0.53	0.344	0.259	0.228	0.543
b2009	DNA gyrase inhibitory protein OS=Escherichia coli (strain K12) GN=gyrI PE=1 SV=1	gyrI	0.015	0.0235		0.0147	0.0115	0.0221	0.0133	0.0107	0.0179	0.0177	0.0284	0.0342	0.0507	0.0452	0.00942	0.0141	0.0139			0.0114	0.00845	
b2011	Exodeoxyribonuclease I OS=Escherichia coli (strain K12) GN=sbcB PE=4 SV=1	sbcB	0.0000182	0.00000411	0.000000685	0.000000406	0.000133	0.00000693	0.000204	0.0000997	0.0000265	0.000000423	0.0000393	0.0000148	0.000000286	0.0000215	0.000133	0.000117	0.000052	0.0000879	0.000139	0.000104	0.000243	0.0000272
b2012	UPF0033 protein yeeD OS=Escherichia coli (strain K12) GN=yeeD PE=3 SV=1	yeeD	0.046	0.0423	0.179	0.0614	0.104	0.0533	0.0595	0.0573	0.0843	0.0733	0.0479	0.0278	0.000237	0.000234	0.0281	0.00268	0.0173	0.0405	0.00856	0.0398	0.047	0.0437
b2013	UPF0394 inner membrane protein yeeE OS=Escherichia coli (strain K12) GN=yeeE PE=1 SV=1	yeeE	0.000221	0.000819	0.00374	0.0000655	0.000581	0.0003	0.000441	0.00244	0.000579	0.000537	0.000233	0.000157	0.000145	0.0000495	0.0000723	0.000121	0.000107	0.00015	0.0000866	0.0000563	0.000234	0.000182
b2016	Protein yeeZ OS=Escherichia coli (strain K12) GN=yeeZ PE=1 SV=1	yeeZ	0.0161	0.0122	0.00914	0.00994	0.00918	0.0102	0.0106	0.0117	0.012	0.0113	0.0112	0.0105	0.00987	0.0103	0.0163	0.0183	0.0197	0.015	0.0123	0.0111	0.00747	0.0135
b2017	Antitoxin YefM OS=Escherichia coli (strain K12) GN=yefM PE=1 SV=1	yefM	0.00125	0.00136	0.00112	0.000661	0.000708	0.000851	0.000758	0.000901	0.000663	0.000608	0.000423	0.000361	0.000249	0.000132	0.000773	0.00114	0.00145	0.000954	0.000993	0.000256	0.000856	0.00115
b2019	ATP phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hisG PE=1 SV=1	hisG	0.223	0.0279	0.259	0.0556	0.0905	0.0924	0.156	0.0938	0.109	0.0912	0.0836	0.0605	0.0255	0.0297	0.103	0.179	0.122	0.154	0.138	0.0936	0.11	0.166
b2020	Histidinol dehydrogenase OS=Escherichia coli (strain K12) GN=hisD PE=1 SV=5	hisD	0.264	0.0595	0.344	0.0815	0.112	0.132	0.188	0.132	0.13	0.109	0.114	0.0831	0.0692	0.0683	0.181	0.319	0.183	0.161	0.143	0.106	0.105	0.151
b2021	Histidinol-phosphate aminotransferase OS=Escherichia coli (strain K12) GN=hisC PE=1 SV=2	hisC	0.144	0.0222	0.205	0.0426	0.0601	0.0813	0.105	0.0658	0.0942	0.0711	0.0744	0.0507	0.0224	0.024	0.0929	0.156	0.114	0.0965	0.0881	0.0942	0.0716	0.0994
b2022	Histidine biosynthesis bifunctional protein hisB OS=Escherichia coli (strain K12) GN=hisB PE=1 SV=1	hisB	0.187	0.0462	0.205	0.0577	0.0929	0.0865	0.152	0.0986	0.107	0.0884	0.0886	0.0646	0.0322	0.0326	0.0813	0.159	0.0856	0.107	0.125	0.0923	0.0969	0.129
